ts,username,platform,ms_played,conn_country,track,artist,master_metadata_album_album_name,spotify_track_uri,shuffle,skipped,offline,offline_timestamp,incognito_mode,year,genre,danceability,energy,valence,tempo,acousticness
2014-01-01 16:04:14+00:00,1129466889,Windows 7 (6.1.7601; x64; SP1; S),5015,DE,around the world,daft punk,Homework,spotify:track:1pKYYY0dkg23sQQXi0Q5zN,False,True,False,0.0,False,2014,french house,0.956,0.795,0.841,121.294,0.00356
2014-01-01 16:04:33+00:00,1129466889,Windows 7 (6.1.7601; x64; SP1; S),4036,DE,fürstenfeld,s.t.s,STS-Best Of,spotify:track:6D1AH3MWonMjlaenx7TJ2s,False,True,False,0.0,False,2014,schlager,,,,,
2014-01-01 16:11:20+00:00,1129466889,Windows 7 (6.1.7601; x64; SP1; S),193466,DE,in da club,50 cent,Get Rich Or Die Tryin',spotify:track:09OO7Q2aOnwUA1as7cgiaP,False,False,False,0.0,False,2014,east coast hip hop,0.902,0.72,0.805,90.059,0.26
2014-01-01 16:25:11+00:00,1129466889,Windows 7 (6.1.7601; x64; SP1; S),198813,DE,toxic,britney spears,Greatest Hits: My Prerogative,spotify:track:717TY4sfgKQm4kFbYQIzgo,False,False,False,0.0,False,2014,pop,0.774,0.838,0.924,143.04,0.0249
2014-01-01 16:34:18+00:00,1129466889,Windows 7 (6.1.7601; x64; SP1; S),48343,DE,bla bla bla,gigi d'agostino,Ultimate Workout Volume 1: Electronic & Dance,spotify:track:5YuJhe1jfUYb8b3jf2IZM0,False,True,False,0.0,False,2014,eurodance,,,,,
2014-01-01 16:41:17+00:00,1129466889,Windows 7 (6.1.7601; x64; SP1; S),219013,DE,oh jonny,jan delay,Wir Kinder vom Bahnhof Soul,spotify:track:1IivtUqnUfW9jH3pM08D8U,False,False,False,0.0,False,2014,german pop,,,,,
2014-01-01 18:09:21+00:00,1129466889,Windows 7 (6.1.7601; x64; SP1; S),9159,DE,smooth criminal,alien ant farm,The Ultimate Workout Collection: Blood Sweat And Tears,spotify:track:6wrdOEEUufGoGshPplymxS,False,True,False,0.0,False,2014,nu metal,0.653,0.964,0.87,126.928,0.00316
2014-01-01 18:09:32+00:00,1129466889,Windows 7 (6.1.7601; x64; SP1; S),11352,DE,emanuela,fettes brot,Am Wasser gebaut,spotify:track:3yZySGI7T6Zt5nAd385noE,False,True,False,0.0,False,2014,german pop,,,,,
2014-01-01 18:13:16+00:00,1129466889,Windows 7 (6.1.7601; x64; SP1; S),221906,DE,maria (i like it loud) - radio edit,scooter,Five Essentials,spotify:track:7tPASlPpOKczP1J8Iti9Ev,False,False,False,0.0,False,2014,happy hardcore,,,,,
2014-01-01 18:13:40+00:00,1129466889,Windows 7 (6.1.7601; x64; SP1; S),24531,DE,bad girlfriend,theory of a deadman,Scars & Souvenirs,spotify:track:5ynWvN3bQymHVThxutO4hG,False,True,False,0.0,False,2014,post-grunge,0.504,0.957,0.676,135.013,0.00298
2014-01-01 18:13:44+00:00,1129466889,Windows 7 (6.1.7601; x64; SP1; S),4358,DE,self esteem,the offspring,Smash,spotify:track:6qpN7PrkVsP3N3xO7WlCaw,False,True,False,0.0,False,2014,punk,,,,,
2014-01-01 18:17:10+00:00,1129466889,Windows 7 (6.1.7601; x64; SP1; S),11264,DE,pretty fly (for a white guy),the offspring,Americana,spotify:track:15HadeuRG9THazDGzLH8ZU,False,True,False,0.0,False,2014,punk,0.723,0.895,0.963,143.373,0.088
2014-01-01 18:17:24+00:00,1129466889,Windows 7 (6.1.7601; x64; SP1; S),14284,DE,electric feel,mgmt,Oracular Spectacular,spotify:track:3FtYbEfBqAlGO46NUDQSAt,False,True,False,0.0,False,2014,indie,,,,,
2014-01-01 18:17:42+00:00,1129466889,Windows 7 (6.1.7601; x64; SP1; S),6497,DE,"right here, right now",fatboy slim,You've Come a Long Way Baby (10th Anniversary Edition),spotify:track:5kL3fvZKJ5Ua5pSqg2dkZv,False,True,False,0.0,False,2014,big beat,,,,,
2014-01-01 18:17:52+00:00,1129466889,Windows 7 (6.1.7601; x64; SP1; S),8396,DE,griechischer wein,udo jürgens,Zeig mir den Platz an der Sonne,spotify:track:452WSSzuklpg0w4RKTlkvn,False,True,False,0.0,False,2014,schlager,0.406,0.408,0.58,148.081,0.743
2014-01-01 18:18:15+00:00,1129466889,Windows 7 (6.1.7601; x64; SP1; S),20804,DE,windowlicker,aphex twin,Windowlicker,spotify:track:60Pe9j2pCBa4Zp4ztf5nhd,False,True,False,0.0,False,2014,idm,,,,,
2014-01-01 18:18:32+00:00,1129466889,Windows 7 (6.1.7601; x64; SP1; S),15553,DE,kids,mgmt,Oracular Spectacular,spotify:track:1jJci4qxiYcOHhQR247rEU,False,True,False,0.0,False,2014,indie,0.451,0.931,0.172,122.961,0.00076
2014-01-01 18:18:43+00:00,1129466889,Windows 7 (6.1.7601; x64; SP1; S),12031,DE,the kids aren't alright,the offspring,Americana,spotify:track:4sQJXbtxwoKHG7PwMRJ0Ig,False,True,False,0.0,False,2014,punk,,,,,
